широта;долгота;скорость;ускорение по Z;ускорение по X;ускорение по Y;Угол наклона
43.116877;131.896234;12.8;0.01;0.12;0.0;0.4
43.116934;131.895912;13.0;0.0;0.1;0.01;0.3
43.116988;131.895633;13.1;-0.01;0.08;0.0;0.5
43.117032;131.895372;13.3;0.01;0.1;-0.01;0.4
43.117099;131.895042;13.5;0.0;0.12;0.0;0.6
43.117146;131.894789;13.6;-0.01;0.08;0.01;0.5
43.1172;131.894543;13.8;0.01;0.1;0.0;0.4
43.11725;131.894293;14.0;0.0;0.1;-0.01;0.5
43.11731;131.894001;14.3;0.02;0.12;0.0;0.6
43.117392;131.893608;14.6;0.01;0.12;0.01;0.4
43.117442;131.8936;30.3;-0.07;2.86;-0.02;-0.4
43.117517;131.893588;38.9;0.03;2.39;-0.02;-0.3
43.117613;131.893571;45.3;0.04;1.77;0.0;0.7
43.117726;131.893552;51.1;-0.01;1.62;0.01;0.6
43.117852;131.893531;56.6;0.05;1.52;-0.0;2.1
43.117993;131.893507;59.9;-0.01;0.93;-0.0;-0.8
43.118141;131.893482;64.2;-0.03;1.18;-0.0;-0.4
43.1183;131.893456;67.4;0.03;0.9;-0.01;-0.9
43.118467;131.893427;70.1;0.01;0.74;-0.0;-0.1
43.118641;131.893398;68.5;0.05;-0.45;0.01;-0.4
43.118811;131.89337;71.2;-0.02;0.75;-0.0;0.4
43.118987;131.89334;69.0;0.03;-0.59;-0.01;-0.7
43.119159;131.893311;71.0;0.03;0.54;-0.01;0.8
43.119334;131.893281;69.1;0.06;-0.53;0.11;1.2
43.119506;131.893252;71.6;0.05;0.71;0.65;2.1
43.119684;131.893227;69.5;0.04;-0.59;0.94;4.6
43.119857;131.893224;68.0;0.02;-0.41;0.42;1.4
43.120027;131.893221;70.3;-0.04;0.62;0.02;3.2
43.120203;131.893218;73.1;0.03;0.8;-0.01;0.3
43.120385;131.893215;75.2;0.04;0.58;-0.0;0.2
43.120573;131.893212;77.4;0.05;0.62;0.42;2.9
43.120766;131.893209;79.4;0.02;0.54;0.8;5.9
43.120964;131.893226;80.0;0.03;0.18;0.39;2.8
43.121164;131.893243;80.8;-0.0;0.2;-0.0;0.2
43.121365;131.89326;80.4;0.03;-0.09;-0.01;-0.3
43.121566;131.893276;80.8;0.05;0.11;-0.0;-0.4
43.121767;131.893293;80.3;-0.01;-0.15;0.12;-0.7
43.121968;131.89331;81.7;0.03;0.4;0.44;1.9
43.122171;131.893333;80.9;0.03;-0.22;0.49;2.1
43.122372;131.893365;79.6;0.03;-0.39;0.17;1.3
43.122569;131.893396;80.3;-0.0;0.22;-0.01;0.3
43.122769;131.893428;81.4;0.06;0.31;-0.0;0.7
43.122971;131.89346;80.3;0.01;-0.32;-0.0;-0.2
43.12317;131.893491;80.9;-0.03;0.16;-0.0;-0.3
43.123371;131.893523;82.4;0.07;0.42;0.18;2.0
43.123575;131.893555;83.0;-0.02;0.16;0.42;1.3
43.12378;131.893596;82.2;0.01;-0.23;0.28;1.0
43.123983;131.89364;82.7;0.01;0.14;0.05;1.3
43.124187;131.893683;82.1;0.03;-0.15;-0.0;0.9
43.12439;131.893727;80.5;-0.05;-0.46;0.0;-0.0
43.124589;131.893769;80.9;0.02;0.11;0.0;0.7
43.124788;131.893812;81.8;0.02;0.25;-0.0;-0.7
43.12499;131.893855;81.9;-0.02;0.04;0.02;0.9
43.125192;131.893899;80.5;-0.05;-0.4;0.25;1.5
43.125391;131.893942;82.1;-0.01;0.44;0.44;3.3
